index,title,article_url,svg_file,png_file
"1","BI Consulting: When Dashboards Become Business Infrastructure","https://www.bisolutions.group/blog/power-bi-consulting-dashboards-business-infrastructure","01-power-bi-consulting-dashboards-business-infrastructure.svg","01-power-bi-consulting-dashboards-business-infrastructure.png"
"2","Semantic Modeling in Power BI: Why Clean Models Matter More Than Pretty Reports","https://www.bisolutions.group/blog/semantic-modeling-power-bi-clean-models","02-semantic-modeling-power-bi-clean-models.svg","02-semantic-modeling-power-bi-clean-models.png"
"3","Dashboard Requirements: What to Define Before a Power BI Build","https://www.bisolutions.group/blog/dashboard-requirements-before-power-bi-build","03-dashboard-requirements-before-power-bi-build.svg","03-dashboard-requirements-before-power-bi-build.png"
"4","Data Strategy Before AI: Why Companies Need Better Foundations First","https://www.bisolutions.group/blog/data-strategy-before-ai-better-foundations","04-data-strategy-before-ai-better-foundations.svg","04-data-strategy-before-ai-better-foundations.png"
"5","AI Consulting for Greek Businesses: Practical Use Cases Beyond Hype","https://www.bisolutions.group/blog/ai-consulting-greek-businesses-practical-use-cases","05-ai-consulting-greek-businesses-practical-use-cases.svg","05-ai-consulting-greek-businesses-practical-use-cases.png"
"6","Website & Web App Development in Greece: What Businesses Actually Need","https://www.bisolutions.group/blog/website-web-app-development-greece-business-needs","06-website-web-app-development-greece-business-needs.svg","06-website-web-app-development-greece-business-needs.png"
"7","KPI Dictionary: The Small BI Asset That Prevents Big Reporting Arguments","https://www.bisolutions.group/blog/kpi-dictionary-business-intelligence","07-kpi-dictionary-business-intelligence.svg","07-kpi-dictionary-business-intelligence.png"
"8","Data Quality Checklist for Analytics Projects","https://www.bisolutions.group/blog/data-quality-checklist-analytics-projects","08-data-quality-checklist-analytics-projects.svg","08-data-quality-checklist-analytics-projects.png"
"9","Analytics Roadmap: What to Do in the First 90 Days","https://www.bisolutions.group/blog/analytics-roadmap-first-90-days","09-analytics-roadmap-first-90-days.svg","09-analytics-roadmap-first-90-days.png"
"10","Data Governance and GDPR: How to Scale Analytics Without Losing Control","https://www.bisolutions.group/blog/data-governance-gdpr-scale-analytics-control","10-data-governance-gdpr-scale-analytics-control.svg","10-data-governance-gdpr-scale-analytics-control.png"
"11","Cloud Data Warehouse vs Spreadsheets: When the Move Becomes Worth It","https://www.bisolutions.group/blog/cloud-data-warehouse-vs-spreadsheets","11-cloud-data-warehouse-vs-spreadsheets.svg","11-cloud-data-warehouse-vs-spreadsheets.png"
"12","Internal Tools vs SaaS: How to Decide Whether to Build or Buy","https://www.bisolutions.group/blog/internal-tools-vs-saas-build-buy","12-internal-tools-vs-saas-build-buy.svg","12-internal-tools-vs-saas-build-buy.png"
"13","AI Document Workflows for Professional Services","https://www.bisolutions.group/blog/ai-document-workflows-professional-services","13-ai-document-workflows-professional-services.svg","13-ai-document-workflows-professional-services.png"
"14","Prompt Workflow Design: Turning AI Prompts Into Repeatable Business Processes","https://www.bisolutions.group/blog/prompt-workflow-design-business-teams","14-prompt-workflow-design-business-teams.svg","14-prompt-workflow-design-business-teams.png"
"15","AI Assistant Governance: What Company Policy Should Cover","https://www.bisolutions.group/blog/ai-assistant-governance-company-policy","15-ai-assistant-governance-company-policy.svg","15-ai-assistant-governance-company-policy.png"
"16","Predictive Analytics: Common Forecasting Mistakes Business Teams Make","https://www.bisolutions.group/blog/predictive-analytics-forecasting-mistakes","16-predictive-analytics-forecasting-mistakes.svg","16-predictive-analytics-forecasting-mistakes.png"
"17","AI Literacy for Teams: How to Adopt AI Without Creating Operational Risk","https://www.bisolutions.group/blog/ai-literacy-teams-adopt-ai-without-operational-risk","17-ai-literacy-teams-adopt-ai-without-operational-risk.svg","17-ai-literacy-teams-adopt-ai-without-operational-risk.png"
"18","MLOps for Small and Mid-Sized Teams: How to Productionize AI Workflows","https://www.bisolutions.group/blog/mlops-small-mid-sized-teams-productionize-ai","18-mlops-small-mid-sized-teams-productionize-ai.svg","18-mlops-small-mid-sized-teams-productionize-ai.png"
"19","Model Monitoring for AI Workflows: What to Watch After Launch","https://www.bisolutions.group/blog/model-monitoring-ai-workflows","19-model-monitoring-ai-workflows.svg","19-model-monitoring-ai-workflows.png"
